Batch_ID,Brew_Date,Beer_Style,SKU,Location,Fermentation_Time,Temperature,pH_Level,Gravity,Alcohol_Content,Bitterness,Color,Ingredient_Ratio,Volume_Produced,Total_Sales,Quality_Score,Brewhouse_Efficiency,Loss_During_Brewing,Loss_During_Fermentation,Loss_During_Bottling_Kegging
3020516,01-01-2020 00:03,Pilsner,Cans,Indiranagar,16,16.59437533,5.493967002,1.052301054,4.934157552,46,18,1:0.43:0.16,1890,13225.54319,9.818221398,73.215311,3.670756002,3.295998161,4.582231849
7778914,01-01-2020 00:04,Lager,Bottles,Koramangala,17,17.11661909,5.356336383,1.079647432,4.906670532,47,17,1:0.21:0.25,4500,8954.464486,7.777254211,88.53230797,3.618195837,3.151637214,3.322607612
5708790,01-01-2020 00:04,Wheat Beer,Pints,Marathahalli,12,18.84778464,5.228886951,1.047176007,5.029693362,39,9,1:0.49:0.10,4727,19228.36213,6.224193239,70.66652472,1.824071058,3.341324821,3.946524623
3051995,01-01-2020 00:04,Stout,Kegs,Yelahanka,16,20.20635599,4.976424546,1.044917019,4.807173138,21,5,1:0.43:0.15,3883,19597.79339,9.758908585,89.81716962,2.873828436,4.777736923,1.064329398
9735697,01-01-2020 00:04,Ale,Cans,Malleswaram,18,23.044756,4.913972703,1.068221943,4.852516359,31,11,1:0.49:0.26,949,17544.02085,9.938250969,89.08570604,1.54396783,4.076828307,2.029045686
4439684,01-01-2020 00:04,Porter,Bottles,Koramangala,10,16.13708339,4.572636168,1.035554242,5.410009721,52,8,1:0.27:0.22,3341,15380.29734,9.665051375,71.68768991,1.883316316,1.751438027,2.537654506
9778184,01-01-2020 00:05,Lager,Kegs,Malleswaram,10,15.72923113,4.721720568,1.068968341,5.451085539,34,17,1:0.37:0.13,2778,17633.60355,8.31893022,70.79132434,2.965971177,2.172663685,4.622986305
2432833,01-01-2020 00:05,IPA,Pints,Malleswaram,10,23.52524112,4.9436745,1.057832314,4.813635405,38,15,1:0.37:0.19,1915,14242.61613,8.055126142,74.92785609,2.827408149,3.189417854,2.545438782
423682,01-01-2020 00:06,Porter,Kegs,Jayanagar,19,22.48992286,5.100843495,1.074803899,5.355709311,54,18,1:0.22:0.27,4642,2880.503194,8.258363194,83.92862596,3.741461372,1.309665451,1.273010864
6648052,01-01-2020 00:06,Wheat Beer,Pints,Whitefield,11,21.07831889,4.716176858,1.079271574,4.915251506,34,10,1:0.36:0.14,4174,11406.72285,6.326777863,86.14649689,2.835731586,1.084990725,3.248457834
6547651,01-01-2020 00:06,IPA,Kegs,Indiranagar,19,21.7147203,5.295451676,1.048363716,5.102364785,20,18,1:0.44:0.20,4862,3946.987681,7.80980102,76.95864741,3.627359714,4.820722666,2.75927013
4085973,01-01-2020 00:07,Lager,Bottles,Rajajinagar,16,19.60463381,5.21410298,1.03896396,5.931138361,39,9,1:0.37:0.20,2029,1863.189518,9.849276707,83.86208318,1.235457851,4.240004168,1.333985208
4038,01-01-2020 00:07,Lager,Cans,Rajajinagar,17,17.12215996,5.199110481,1.041143742,5.946134605,33,5,1:0.21:0.18,3320,17591.94367,9.591767047,82.12133298,4.384337331,4.204139513,3.621174079
3886278,01-01-2020 00:07,Lager,Kegs,Jayanagar,15,18.61930293,4.532878898,1.03411721,5.863576332,48,15,1:0.36:0.24,3599,16420.49676,7.878395855,83.049687,3.553205213,2.703055686,1.736688737
9654029,01-01-2020 00:07,Lager,Kegs,Malleswaram,16,24.60606263,5.183665454,1.06765665,5.303881329,36,19,1:0.36:0.11,4338,7208.490183,6.065382229,76.93942374,2.274680898,2.844785273,4.037170381
5752369,01-01-2020 00:07,Stout,Bottles,Malleswaram,11,15.86768238,4.938186191,1.059092704,5.136311857,43,15,1:0.27:0.30,994,14810.63638,6.154923547,75.53840531,4.194032726,3.430434341,2.8825633
1383282,01-01-2020 00:07,Wheat Beer,Kegs,Malleswaram,17,16.81271943,5.160545577,1.05892588,5.325395832,21,14,1:0.47:0.10,4514,6726.252681,7.938880672,81.2135906,1.863431963,1.497911729,1.004913578
6977890,01-01-2020 00:08,Porter,Pints,Whitefield,12,21.31322404,5.174987937,1.03492008,4.546448033,23,5,1:0.41:0.28,3073,17806.93218,6.564140305,86.97770335,1.00841208,2.32511051,1.555145517
9518449,01-01-2020 00:08,Pilsner,Cans,Koramangala,19,20.75881325,5.282292163,1.035216701,4.558144119,39,10,1:0.24:0.24,2113,2345.927341,9.428743002,85.2925161,4.022305109,1.204169178,4.448826462
8733764,01-01-2020 00:08,Ale,Cans,Rajajinagar,16,18.78888068,5.326824772,1.065097657,5.89189303,50,7,1:0.31:0.12,4530,14544.05784,6.167712698,84.17695798,3.318184545,2.725071997,1.964418713
9420025,01-01-2020 00:08,Wheat Beer,Pints,Jayanagar,13,21.40372611,5.427647837,1.062960551,4.51836397,48,13,1:0.49:0.30,2385,6644.670854,8.545842959,87.30320605,3.519379512,1.388678542,3.083450633
1228423,01-01-2020 00:08,Pilsner,Pints,HSR Layout,15,23.25368013,4.704292806,1.062806112,5.837861831,49,5,1:0.24:0.11,3114,13738.70115,7.780688144,73.18417707,3.687853209,2.141997688,3.033560754
4771161,01-01-2020 00:08,Stout,Cans,Jayanagar,11,19.92006113,5.291435062,1.046627217,5.494213433,27,14,1:0.45:0.25,3802,19102.02759,9.703509461,75.49786785,3.241921549,2.966331834,2.694125484
7084667,01-01-2020 00:09,Porter,Pints,Whitefield,10,18.2147922,5.197407729,1.040847223,5.330442538,56,16,1:0.29:0.26,1467,4379.480282,7.409208653,85.38146427,2.692839838,1.417066751,4.43733308
3049625,01-01-2020 00:09,Wheat Beer,Cans,Malleswaram,11,24.22531356,4.713954358,1.063986369,5.808666022,33,18,1:0.20:0.10,718,7943.581035,9.761836485,70.67083054,2.167210759,2.439272727,1.91812873
1930719,01-01-2020 00:10,Pilsner,Bottles,Indiranagar,14,23.67723641,5.036999449,1.03321592,5.193410401,55,10,1:0.31:0.24,1152,12154.5776,6.254028055,84.60243753,3.633223324,4.759193805,1.517986173
7951132,01-01-2020 00:10,Sour,Bottles,Electronic City,13,21.31372007,4.731469371,1.041919266,5.968934063,49,11,1:0.41:0.21,3944,15666.69294,7.271597968,83.3689668,4.459020056,2.412460513,4.109605865
6154993,01-01-2020 00:10,Ale,Kegs,Koramangala,15,16.53269035,5.076018207,1.063381991,4.558280719,25,14,1:0.22:0.15,4573,12190.19551,8.126196703,70.88515141,1.77998125,2.475891022,3.378850624
2264791,01-01-2020 00:10,Pilsner,Pints,Whitefield,12,21.246914,4.835314558,1.054370762,5.037560632,29,13,1:0.31:0.12,3407,16304.75876,6.188334142,82.17355972,1.252156874,3.090605248,3.834210226
9790483,01-01-2020 00:10,Wheat Beer,Kegs,HSR Layout,16,24.86917808,4.849521382,1.045131883,4.992812932,40,10,1:0.42:0.27,2436,4512.734518,8.721659761,88.65599039,1.487622329,4.103369597,3.260870878
6533460,01-01-2020 00:10,Lager,Cans,Koramangala,17,24.31317001,5.35712938,1.051597587,5.289846659,23,16,1:0.22:0.27,3232,8955.222597,7.31791146,81.20426642,3.606555211,4.845171678,2.39346507
2816474,01-01-2020 00:10,IPA,Kegs,Marathahalli,16,19.72737296,5.25057658,1.046241563,5.290137464,44,6,1:0.40:0.22,3158,5851.794787,7.832645856,71.65838583,4.116145588,1.351794993,1.617099372
7765764,01-01-2020 00:10,Lager,Cans,Whitefield,11,19.9943885,4.975432253,1.048400757,4.623326454,59,10,1:0.35:0.17,2187,12459.54305,9.558641933,76.02492038,2.1930006,2.306997694,1.040907967
770263,01-01-2020 00:10,Lager,Bottles,Rajajinagar,11,22.404275,4.709903872,1.06412207,4.996097519,55,15,1:0.24:0.19,1403,2945.615826,8.714859982,80.79562143,3.462129712,2.00233985,3.838020384
2342712,01-01-2020 00:11,IPA,Bottles,HSR Layout,14,21.41723945,5.34580719,1.073824463,5.302475463,59,19,1:0.33:0.17,1071,7779.836768,7.233300022,70.73911659,1.861867041,4.069056245,3.05781191
7619283,01-01-2020 00:11,Ale,Pints,Marathahalli,18,22.40817981,4.969266055,1.050396988,5.613719541,57,19,1:0.47:0.26,4414,18563.78641,8.974067417,87.90532985,4.10310529,2.944137454,1.28027399
446419,01-01-2020 00:12,Porter,Bottles,Rajajinagar,10,24.11284117,4.794650991,1.039975396,5.832342787,27,12,1:0.25:0.22,551,14767.42604,9.728864377,79.3249752,4.303343817,4.295201999,2.817763918
1709420,01-01-2020 00:12,Porter,Kegs,Yelahanka,12,22.62938313,4.776396506,1.030595386,5.934652917,38,19,1:0.26:0.11,960,15506.14745,9.544811706,85.22587157,1.158822129,2.02467519,4.977855838
4021987,01-01-2020 00:12,Porter,Cans,Whitefield,17,21.63970785,4.853656639,1.035015141,4.953751883,35,8,1:0.32:0.16,2791,10247.20541,9.78847706,84.59816256,1.771386021,3.21994504,3.251345657
1625966,01-01-2020 00:12,IPA,Kegs,Marathahalli,16,24.77819662,5.465603074,1.062790314,5.404953419,47,18,1:0.31:0.26,3761,8864.028314,7.105173694,83.8920103,1.839929365,2.539242679,1.140245602
5693444,01-01-2020 00:12,Porter,Kegs,Jayanagar,11,19.41799688,5.107115924,1.058784295,4.551428698,45,6,1:0.34:0.15,1147,2965.579875,8.927378966,83.16625538,4.874295349,3.153512311,3.146767028
8483433,01-01-2020 00:13,Stout,Pints,Indiranagar,15,21.83087377,4.737512185,1.074672403,4.820773733,49,18,1:0.42:0.15,4884,9890.817532,6.438832338,80.4612525,2.65162243,3.108470866,3.824105247
370090,01-01-2020 00:13,Porter,Kegs,Koramangala,19,22.16253756,4.93691074,1.03626446,4.815514614,21,13,1:0.42:0.28,2482,18420.86726,6.473224385,76.32163139,1.758028434,2.884489549,1.146749602
4035747,01-01-2020 00:13,Wheat Beer,Kegs,Electronic City,18,17.73933389,5.176576349,1.032634617,4.547568246,45,7,1:0.24:0.21,2046,5481.777756,6.451904387,82.7363076,3.802163953,1.850021293,4.253751137
2384109,01-01-2020 00:13,IPA,Cans,Jayanagar,14,22.45249047,4.660315366,1.042486461,5.261130187,43,5,1:0.21:0.27,3421,18461.43664,7.544073823,76.12295302,4.283847321,2.314302009,1.717152038
1989680,01-01-2020 00:13,Stout,Kegs,Rajajinagar,12,21.08531307,4.898951275,1.075333085,5.743752261,50,5,1:0.25:0.18,1756,14386.30106,8.774689197,82.38527012,4.990321253,2.571464638,2.193404188
4221426,01-01-2020 00:13,Porter,Pints,Rajajinagar,13,15.72767678,4.689727784,1.03249456,5.297588346,40,12,1:0.48:0.20,3140,2377.950173,7.371367091,80.28061588,1.811011571,3.125256547,2.342393307
4655507,01-01-2020 00:14,Porter,Bottles,Rajajinagar,11,19.44179197,5.180533027,1.051060258,4.707404435,58,19,1:0.25:0.15,964,6305.562966,7.224217466,71.29184511,1.45919291,4.238980785,3.945171963
4727432,01-01-2020 00:15,Stout,Bottles,Marathahalli,10,18.74287679,4.963342018,1.078872018,4.709950825,27,19,1:0.33:0.17,1034,11487.11482,9.755608456,88.34640002,3.488662943,3.576694764,1.429746617
2603209,01-01-2020 00:15,IPA,Pints,HSR Layout,18,20.7545894,4.67519612,1.066312556,4.52762978,54,6,1:0.34:0.15,1851,5819.722675,7.002443318,89.48636276,1.522490144,3.092662693,2.131924585
3654330,01-01-2020 00:15,Ale,Pints,Marathahalli,14,24.68547134,4.991454823,1.073205032,4.76631014,42,7,1:0.24:0.25,4563,1586.694636,6.784690501,73.08228484,3.507474704,2.362458892,1.354161986
4173637,01-01-2020 00:15,Stout,Pints,Jayanagar,14,24.6271742,4.686506092,1.035226707,5.853071743,38,19,1:0.33:0.29,3293,6578.321181,6.881444804,85.99159235,1.584693252,3.380099259,3.001583739
4290658,01-01-2020 00:15,Pilsner,Pints,Marathahalli,15,15.01522466,4.774744424,1.033086377,5.285410103,37,14,1:0.33:0.24,2684,12432.67162,6.067730119,81.49904503,4.053370971,2.385878287,3.731317425
1557650,01-01-2020 00:16,Lager,Pints,Rajajinagar,10,18.82631107,4.725015772,1.05544821,4.983055788,45,6,1:0.22:0.15,4445,5659.265997,7.271151455,73.85930459,3.640986665,3.597904998,3.760008195
2056834,01-01-2020 00:16,Wheat Beer,Kegs,HSR Layout,10,21.95875512,5.355869578,1.043655551,5.961470123,23,16,1:0.24:0.14,1103,3009.8592,7.910283671,83.09513144,3.700945991,2.098474948,4.963482091
5203584,01-01-2020 00:17,IPA,Bottles,Whitefield,11,23.1449371,4.986743268,1.079104833,4.793119175,26,9,1:0.42:0.20,2774,16250.40818,9.458302185,74.12053557,4.388527064,1.279667045,4.1999825
5781227,01-01-2020 00:17,Sour,Kegs,Jayanagar,11,16.19188588,4.716898159,1.059085416,4.838664914,23,17,1:0.34:0.15,4163,15036.17865,6.567241464,72.64503235,2.594582303,1.023071537,2.891080035
9862274,01-01-2020 00:17,Stout,Cans,Rajajinagar,14,15.27640003,4.941137692,1.055810872,5.835099327,54,14,1:0.22:0.28,2857,3663.847201,6.553661278,83.60040058,2.477158873,4.290289102,2.282808449
1975791,01-01-2020 00:17,Lager,Kegs,Electronic City,10,19.98238616,4.830392435,1.059176931,5.763349903,24,8,1:0.32:0.30,1942,9552.785159,9.624752917,71.45535217,4.128535618,1.432361444,1.780938677
7265454,01-01-2020 00:17,Ale,Bottles,Rajajinagar,16,22.59663964,4.726700021,1.042274052,5.885991116,35,9,1:0.24:0.20,3397,17734.07596,8.836021277,79.92740639,3.160084053,3.19723442,1.239689127
3657527,01-01-2020 00:17,Sour,Cans,Electronic City,19,23.032401,5.245786298,1.067000229,5.177877907,26,15,1:0.45:0.10,2561,2111.42022,9.176360419,85.00719484,1.932527243,4.555381783,1.987886499
6298761,01-01-2020 00:17,Porter,Kegs,Indiranagar,11,18.57158317,4.536148913,1.042385574,5.090178481,20,16,1:0.40:0.13,926,18382.34464,8.466706344,87.31891182,3.118282679,2.82618433,1.497040772
5760392,01-01-2020 00:17,Porter,Cans,Marathahalli,12,24.35364528,4.58578827,1.030440137,5.741045569,42,19,1:0.37:0.16,4826,10396.71847,6.970625351,80.01018594,3.685876087,3.66722713,2.606043924
908680,01-01-2020 00:18,Wheat Beer,Bottles,Malleswaram,16,17.42453365,4.87149402,1.034802437,5.717964697,40,19,1:0.33:0.28,1923,18781.35025,8.112010464,77.5093812,3.289860899,2.231685734,1.825225002
5083327,01-01-2020 00:18,Stout,Cans,Jayanagar,17,23.51744363,5.291612094,1.034242533,5.027126554,56,15,1:0.27:0.25,1972,8725.121677,6.394841151,85.31041825,4.462755219,2.739981183,1.786716883
1396518,01-01-2020 00:18,Pilsner,Pints,Malleswaram,19,15.30421779,5.307470813,1.041514172,4.8319047,53,19,1:0.21:0.19,3940,10396.40738,7.216842646,84.16547147,3.520537699,1.653282425,3.849567873
5691426,01-01-2020 00:18,Pilsner,Cans,Marathahalli,18,22.48162986,5.030408563,1.039123282,4.718544694,43,5,1:0.24:0.28,2875,8315.593614,7.46572028,72.28860986,2.155820247,3.045741155,3.782019383
379969,01-01-2020 00:18,Porter,Kegs,Indiranagar,15,15.95079955,4.98104136,1.057481905,4.806670861,34,8,1:0.48:0.12,4616,4202.128153,9.102556001,87.90748444,3.185298815,4.589658121,4.450327416
9580284,01-01-2020 00:18,IPA,Kegs,Whitefield,14,23.0962987,5.289424216,1.072256085,4.756997883,53,17,1:0.29:0.17,4032,3677.032211,7.512468559,77.54157785,1.713614992,2.799230946,4.281573027
3998496,01-01-2020 00:18,Stout,Bottles,Rajajinagar,19,21.60698057,5.17695854,1.07632788,5.699407081,42,8,1:0.34:0.19,4028,16797.2182,7.414969137,78.12868458,2.248489486,1.807246228,1.57068606
3089817,01-01-2020 00:18,Ale,Bottles,Jayanagar,17,18.67743814,4.771091317,1.042440465,5.01764194,44,12,1:0.24:0.10,2611,4430.659139,9.040251852,80.27144166,4.407973385,3.713569808,4.554605961
6257124,01-01-2020 00:19,Sour,Bottles,Jayanagar,16,23.52226802,5.395815311,1.06640823,5.159126024,45,14,1:0.43:0.23,1338,17189.43475,8.286416803,73.07375009,4.425382641,4.281630666,4.718188702
5512384,01-01-2020 00:19,Lager,Cans,Marathahalli,14,22.47130194,5.460051545,1.072918308,5.518558413,22,17,1:0.32:0.23,748,14195.64807,8.255371316,80.02608344,1.145382933,2.547720321,3.678021495
5352131,01-01-2020 00:19,Sour,Kegs,Rajajinagar,19,21.31505137,4.536129171,1.048875914,5.844510902,52,14,1:0.46:0.17,4687,1215.170429,7.891835756,81.08365906,1.213752021,2.218329426,1.686417843
8591790,01-01-2020 00:19,Pilsner,Bottles,Malleswaram,16,23.03887688,5.473354941,1.057436547,4.703921879,20,15,1:0.28:0.26,1139,10437.90148,7.714658729,85.62335346,3.6384796,2.579918161,2.420399165
3939618,01-01-2020 00:19,Ale,Cans,Jayanagar,19,16.44181146,4.925703297,1.07710347,5.909390056,59,13,1:0.34:0.22,1353,15610.77566,8.672551588,80.04212822,4.2572961,2.985238878,4.015222341
2470669,01-01-2020 00:20,Sour,Pints,Rajajinagar,18,21.58882115,4.609735422,1.057386173,4.583411529,55,17,1:0.34:0.22,1940,3143.485573,6.275630176,78.76338348,2.687328802,2.184088301,1.681337775
5824765,01-01-2020 00:20,Pilsner,Cans,Electronic City,13,24.05709184,5.060007543,1.061645731,5.997794478,29,6,1:0.34:0.23,4883,4320.75803,7.327872543,73.7099022,2.409078917,4.074248221,1.741940826
2422817,01-01-2020 00:20,Sour,Pints,Indiranagar,15,20.38774407,4.881429788,1.040766096,5.889304949,56,8,1:0.35:0.22,2072,8494.742593,6.244576922,77.37440764,2.954061135,3.576964583,4.499390704
7339244,01-01-2020 00:20,Wheat Beer,Kegs,Malleswaram,14,15.78991753,5.12017335,1.048687793,4.838895877,59,18,1:0.29:0.25,3957,18787.10971,8.833076104,76.47680609,2.41525607,1.057779102,4.465284612
1821627,01-01-2020 00:20,Porter,Bottles,Electronic City,16,15.652512,4.845552321,1.054341217,4.815053767,24,16,1:0.46:0.19,4573,18014.00885,9.00902232,70.81015414,1.585902869,2.743010482,1.474817998
6269295,01-01-2020 00:20,Stout,Pints,Marathahalli,15,24.67702472,5.308394412,1.058410065,4.760328374,59,16,1:0.36:0.26,2897,14027.34442,7.968456548,85.95078648,2.993514127,4.605940398,3.821756841
3281434,01-01-2020 00:21,Porter,Kegs,Rajajinagar,14,24.29760125,5.05921304,1.066407554,5.294507072,44,10,1:0.24:0.22,777,9204.985128,6.129190234,77.22919737,2.437145088,1.664926746,4.673046955
2803403,01-01-2020 00:21,Sour,Cans,Malleswaram,10,24.52697463,5.284119761,1.063916244,5.096480234,27,10,1:0.34:0.22,3945,2246.364893,8.661548454,74.75272571,4.440042618,3.234182919,4.23582472
6423337,01-01-2020 00:21,IPA,Bottles,Marathahalli,15,15.1227686,5.361697055,1.059014551,5.231454845,24,9,1:0.38:0.27,3477,11360.40992,7.270182014,88.81038674,3.714878931,1.299470014,4.720184246
9350574,01-01-2020 00:21,Stout,Bottles,Koramangala,10,24.6355093,5.301039041,1.06952581,4.66005973,43,13,1:0.40:0.14,3806,15135.81719,9.255180696,85.9832669,3.770402814,4.385035177,2.214382136
4914492,01-01-2020 00:21,Ale,Bottles,Electronic City,19,22.80127916,4.548468316,1.077780723,4.780443773,26,10,1:0.39:0.17,887,18536.39458,9.890684194,72.00386318,2.117504839,2.604410402,3.282866159
1832891,01-01-2020 00:21,Porter,Cans,Malleswaram,16,18.5656799,5.354867177,1.034020045,4.509563721,43,7,1:0.33:0.20,1779,5614.691119,9.331868904,87.51772493,2.300561958,2.139020799,3.239544721
2255874,01-01-2020 00:22,Ale,Pints,Yelahanka,18,18.79330985,4.946040339,1.067800509,5.345725972,38,11,1:0.29:0.22,1944,7912.905442,7.338461827,78.06172174,3.534006512,2.850276246,4.880870704
5364700,01-01-2020 00:22,Stout,Bottles,Koramangala,10,15.77369708,5.305408369,1.061401149,4.723227827,43,11,1:0.30:0.14,1630,5278.355936,7.963108526,82.70834613,4.866755888,1.108475089,2.885987234
8314355,01-01-2020 00:22,Sour,Cans,Koramangala,16,20.34664961,4.781733963,1.043166812,5.684055073,39,12,1:0.34:0.13,3017,14700.29032,8.310013736,86.59203477,4.914179277,4.071439252,3.297818792
9255818,01-01-2020 00:22,Porter,Cans,Malleswaram,15,22.42696576,4.518483544,1.042624549,5.772078062,27,9,1:0.38:0.21,2729,17733.6342,6.204904082,85.71100032,4.601859362,2.003861181,2.887643021
3060149,01-01-2020 00:23,Lager,Kegs,Jayanagar,12,23.552786,4.718512162,1.054626311,5.585511833,31,18,1:0.21:0.23,4560,15684.99812,7.445422015,79.32195941,3.129644448,1.706365453,2.986819058
8499906,01-01-2020 00:23,Porter,Kegs,Electronic City,17,16.52200052,4.914146512,1.045207618,4.724871496,33,5,1:0.30:0.26,4701,12469.87219,6.098224917,84.15910924,4.237536261,3.090495203,2.056624835
7822605,01-01-2020 00:23,Wheat Beer,Pints,Koramangala,11,20.34617862,4.886451835,1.032667682,5.746276036,23,15,1:0.38:0.29,2750,18418.5706,6.645117915,70.40950447,1.476084056,2.043701358,1.073469621
1592014,01-01-2020 00:23,Lager,Kegs,HSR Layout,14,21.41931185,4.967699348,1.055935599,5.363301936,21,6,1:0.48:0.29,1746,8083.500975,9.785134715,80.88812184,3.796240174,1.360738352,4.456258251
9595072,01-01-2020 00:23,Pilsner,Cans,Jayanagar,14,18.85904205,4.904394505,1.0314179,5.170234518,41,12,1:0.42:0.22,1779,5740.046855,6.456306065,78.09078792,3.576792327,3.569406635,1.371278634
1138045,01-01-2020 00:24,Wheat Beer,Kegs,Koramangala,15,23.91231087,5.034914801,1.064332417,5.281027988,51,17,1:0.20:0.29,4476,1900.575917,7.854804296,78.10311398,4.225990796,4.800256072,4.027231408
3795639,01-01-2020 00:24,Lager,Pints,Koramangala,12,24.01801618,5.182657329,1.050153919,5.575862273,24,11,1:0.24:0.16,4809,18649.1462,6.591774715,88.92093327,1.75347785,4.427120806,2.199203686
941253,01-01-2020 00:24,Stout,Kegs,Marathahalli,14,24.79654384,5.307691111,1.037498324,5.958770164,31,6,1:0.26:0.28,2791,18792.11735,7.005386934,70.20916015,2.101730679,1.397842926,4.933088081
5481331,01-01-2020 00:24,Stout,Kegs,Electronic City,14,17.06370571,4.556703818,1.078545159,5.157854124,40,15,1:0.23:0.26,1037,5413.053808,7.240109078,77.45074061,4.88241513,1.472246041,1.833497215
886164,01-01-2020 00:24,IPA,Bottles,Marathahalli,14,21.97340276,4.632978413,1.038914041,5.887068567,59,12,1:0.30:0.11,608,5278.115913,8.340714736,72.46553929,2.357410265,4.506510927,2.929485353
5415689,01-01-2020 00:24,Porter,Cans,Jayanagar,12,23.90758159,5.323911644,1.076721067,5.285940609,43,11,1:0.48:0.18,4958,1913.308089,8.786233871,82.11511087,3.817195045,4.784206231,1.948863444
